Version,4.5.9 ABS_3A MML
satellite,channel,frequency,polarisation,symbol_rate,FEC,roll_off,modulation_standard,SD_HD
EU7B,1A18 22_SD,10964.5,X,13333.1,7/8,0.35,DVB-S,SD
EU7B,1D18 22_SD,10982.5,X,13333.1,7/8,0.35,DVB-S,SD
EU7B,1G18 22_SD,11000.5,X,13333.1,7/8,0.35,DVB-S,SD
EU7B,1L18 22_SD,11018.5,X,13333.1,7/8,0.35,DVB-S,SD
EU7B,1A9  11_SD,10960.0,X,6666.5,7/8,0.35,DVB-S,SD
EU7B,1B9  11_SD,10969.0,X,6666.5,7/8,0.35,DVB-S,SD
EU7B,1D9  11_SD,10978.0,X,6666.5,7/8,0.35,DVB-S,SD
EU7B,1E9  11_SD,10987.0,X,6666.5,7/8,0.35,DVB-S,SD
EU7B,1G9  11_SD,10996.0,X,6666.5,7/8,0.35,DVB-S,SD
EU7B,1H9  11_SD,11005.0,X,6666.5,7/8,0.35,DVB-S,SD
EU7B,1L9  11_SD,11014.0,X,6666.5,7/8,0.35,DVB-S,SD
EU7B,1M9  11_SD,11023.0,X,6666.5,7/8,0.35,DVB-S,SD
EU7B,1A9  8+_SD,10960.0,X,6111.3,3/4,0.35,DVB-S,SD
EU7B,1B9  8+_SD,10969.0,X,6111.3,3/4,0.35,DVB-S,SD
EU7B,1D9  8+_SD,10978.0,X,6111.3,3/4,0.35,DVB-S,SD
EU7B,1E9  8+_SD,10987.0,X,6111.3,3/4,0.35,DVB-S,SD
EU7B,1G9  8+_SD,10996.0,X,6111.3,3/4,0.35,DVB-S,SD
EU7B,1H9  8+_SD,11005.0,X,6111.3,3/4,0.35,DVB-S,SD
EU7B,1L9  8+_SD,11014.0,X,6111.3,3/4,0.35,DVB-S,SD
EU7B,1M9  8+_SD,11023.0,X,6111.3,3/4,0.35,DVB-S,SD
EU7B,1A6  7_SD,10958.5,X,4434,7/8,0.35,DVB-S,SD
EU7B,1B6  7_SD,10964.5,X,4434,7/8,0.35,DVB-S,SD
EU7B,1C6  7_SD,10970.5,X,4434,7/8,0.35,DVB-S,SD
EU7B,1D6  7_SD,10976.5,X,4434,7/8,0.35,DVB-S,SD
EU7B,1E6  7_SD,10982.5,X,4434,7/8,0.35,DVB-S,SD
EU7B,1F6  7_SD,10988.5,X,4434,7/8,0.35,DVB-S,SD
EU7B,1G6  7_SD,10994.5,X,4434,7/8,0.35,DVB-S,SD
EU7B,1H6  7_SD,11000.5,X,4434,7/8,0.35,DVB-S,SD
EU7B,1K6  7_SD,11006.5,X,4434,7/8,0.35,DVB-S,SD
EU7B,1L6  7_SD,11012.5,X,4434,7/8,0.35,DVB-S,SD
EU7B,1M6  7_SD,11018.5,X,4434,7/8,0.35,DVB-S,SD
